Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Days_Since_Update,Size_MB
FAMILY,4.3,34514,5000000,Free,0,Everyone,Puzzle;Brain Games,2645,60.0
VIDEO_PLAYERS,4.2,58981,10000000,Free,0,Everyone,Video Players & Editors,2631,5.4
FAMILY,4.7,7252,500000,Free,0,Everyone,Education,2632,9.2
FAMILY,4.2,3103,100000,Free,0,Teen,Entertainment,2949,8.8
VIDEO_PLAYERS,3.5,51,10000,Free,0,Everyone,Video Players & Editors,2669,11.0
WEATHER,4.7,11118,1000000,Free,0,Everyone,Weather,2730,9.7
COMMUNICATION,4.3,158679,5000000,Free,0,Everyone,Communication,2631,8.8
SPORTS,4.1,79464,1000000,Free,0,Everyone,Sports,2628,27.0
GAME,4.6,9394,100000,Paid,$4.99,Everyone,Puzzle,2877,33.0
DATING,4.4,41605,500000,Free,0,Mature 17+,Dating,2639,8.1
PERSONALIZATION,4.3,88,1000,Free,0,Everyone,Personalization,2822,4.2
EDUCATION,4.3,22251,1000000,Free,0,Everyone,Education,3763,1.8
DATING,4.8,110,10000,Free,0,Mature 17+,Dating,2656,4.9
TOOLS,3.9,167,10000,Free,0,Everyone,Tools,2899,2.5
FINANCE,4.4,188,10000,Free,0,Everyone,Finance,2637,3.3
GAME,4.2,685981,100000000,Free,0,Everyone,Arcade,2711,37.0
GAME,4.4,2123793,100000000,Free,0,Everyone,Puzzle,2660,49.0
GAME,4.1,52163,1000000,Free,0,Mature 17+,Action,3382,70.0
FAMILY,4.2,137167,1000000,Free,0,Everyone,Strategy,3194,52.0
FAMILY,4.2,13519,1000000,Free,0,Everyone,Entertainment;Music & Video,2638,51.0
FAMILY,4.4,761,50000,Free,0,Everyone,Education,3297,11.0
SPORTS,4.3,1802,100000,Free,0,Everyone,Sports,2674,9.8
FAMILY,3.5,205,50000,Free,0,Everyone,Educational;Education,3146,62.0
COMMUNICATION,4.4,9,500,Paid,$3.99,Everyone,Communication,3172,0.0498046875
NEWS_AND_MAGAZINES,4.6,56524,1000000,Free,0,Teen,News & Magazines,2628,14.0
DATING,4.1,97699,1000000,Free,0,Mature 17+,Dating,2655,7.9
TOOLS,4.6,262076,10000000,Free,0,Everyone,Tools,2842,1.2
TOOLS,4.2,268,10000,Free,0,Everyone,Tools,2794,2.4
FAMILY,4.0,345,100000,Free,0,Everyone 10+,Simulation,3261,14.0
SPORTS,5.0,17,50,Free,0,Everyone,Sports,2869,1.5
TOOLS,4.2,7063,1000000,Free,0,Everyone,Tools,3176,17.0
GAME,4.7,703,10000,Free,0,Everyone 10+,Word,2890,40.0
AUTO_AND_VEHICLES,4.0,1598,1000000,Free,0,Everyone,Auto & Vehicles,2639,56.0
GAME,3.4,256,50000,Free,0,Everyone,Action,3234,9.1
FAMILY,4.0,2614,100000,Free,0,Mature 17+,Simulation,3838,6.3
SOCIAL,5.0,2,10,Free,0,Teen,Social,2769,1.8
LIFESTYLE,4.2,1506,100000,Free,0,Everyone,Lifestyle,2627,11.0
EDUCATION,4.3,1516,100000,Free,0,Everyone,Education,2637,3.9
FAMILY,4.6,69,1000,Free,0,Everyone,Education,3006,3.1
GAME,4.3,6143,100000,Free,0,Teen,Casino,2640,37.0
FAMILY,4.4,6356,500000,Free,0,Everyone,Puzzle;Creativity,2661,83.0
SHOPPING,4.5,214,10000,Free,0,Everyone,Shopping,2788,1.8
FINANCE,3.4,5,500,Free,0,Everyone,Finance,3012,8.8
LIFESTYLE,4.1,124,5000,Paid,$3.99,Everyone,Lifestyle,2682,37.0
GAME,4.5,4229977,100000000,Free,0,Everyone,Action,2633,60.0
TRAVEL_AND_LOCAL,4.2,120373,5000000,Free,0,Everyone,Travel & Local,2634,31.0
NEWS_AND_MAGAZINES,4.2,31504,1000000,Free,0,Everyone 10+,News & Magazines,2635,31.0
SHOPPING,4.1,23187,1000000,Free,0,Everyone,Shopping,2674,25.0
GAME,4.4,22428456,500000000,Free,0,Everyone,Casual,2660,74.0
COMMUNICATION,4.3,1133501,10000000,Free,0,Everyone,Communication,3485,4.7
FAMILY,4.2,63197,1000000,Free,0,Everyone,Simulation,2668,11.0
COMMUNICATION,4.1,2063,100000,Free,0,Everyone,Communication,2692,4.5
COMMUNICATION,4.1,13100,1000000,Free,0,Everyone,Communication,2767,2.2
PHOTOGRAPHY,4.3,811693,50000000,Free,0,Everyone,Photography,2632,50.0
FOOD_AND_DRINK,4.6,32997,1000000,Free,0,Everyone,Food & Drink,2630,13.0
MEDICAL,4.7,87418,1000000,Free,0,Everyone,Medical,2649,14.0
PRODUCTIVITY,4.1,85,10000,Free,0,Everyone,Productivity,2632,44.0
GAME,4.4,5565856,100000000,Free,0,Everyone,Arcade,2702,97.0
AUTO_AND_VEHICLES,3.0,9,100,Free,0,Everyone,Auto & Vehicles,2764,8.4
GAME,3.7,38,1000,Free,0,Everyone,Arcade,3396,29.0
PERSONALIZATION,3.7,21,500,Paid,$0.99,Everyone,Personalization,4405,0.3671875
COMMUNICATION,3.9,40751,10000000,Free,0,Teen,Communication,3268,35.0
FAMILY,4.3,32405,1000000,Free,0,Everyone,Casual,3955,47.0
TOOLS,4.5,21979,1000000,Free,0,Everyone,Tools,3053,0.958984375
COMMUNICATION,4.1,382,50000,Free,0,Everyone,Communication,2645,2.3
COMMUNICATION,3.7,166,5000,Paid,$4.99,Everyone,Communication,3138,2.0
HEALTH_AND_FITNESS,4.3,12,1000,Free,0,Everyone,Health & Fitness,3526,0.5986328125
