Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type
39.74,Female,63.18,1.61,163.17,158.78,59.11,1.31,942.41,Yoga
53.61,Male,75.45,1.72,194.02,154.03,59.99,0.97,639.62,Yoga
41.94,Male,63.79,1.77,182.9,134.28,59.02,1.31,1413.62,Strength
23.0,Male,83.07,1.8,185.11,161.58,56.1,0.69,834.9,HIIT
18.5,Female,61.62,1.79,190.82,125.87,68.85,1.12,739.2,Yoga
24.07,Male,87.38,1.74,187.02,158.15,66.94,1.57,1632.8,Cardio
22.5,Female,44.05,1.62,195.94,121.93,57.9,0.58,382.1,Yoga
29.04,Male,89.07,1.93,185.72,142.99,65.74,1.88,2202.98,Strength
19.41,Female,46.7,1.63,183.92,127.45,63.04,1.35,1783.48,HIIT
46.01,Female,66.68,1.73,162.74,141.74,55.99,1.1,1331.0,HIIT
45.5,Female,47.46,1.64,167.79,158.93,66.99,1.26,909.47,Yoga
51.97,Male,105.17,1.62,189.07,141.27,61.07,1.36,1645.6,HIIT
24.11,Male,68.93,1.75,165.89,146.11,59.78,1.39,1377.35,Strength
27.38,Female,63.92,1.52,195.37,120.62,59.82,1.18,850.31,Yoga
18.92,Male,88.95,1.77,174.95,127.29,72.0,1.51,1629.44,Strength
51.83,Male,66.16,1.52,188.11,138.46,52.98,1.27,1219.2,Cardio
26.06,Female,111.37,1.9,190.99,166.85,57.04,1.02,895.97,Cardio
33.98,Male,124.87,1.63,160.78,135.77,65.97,1.42,1021.55,Yoga
53.76,Male,71.01,1.57,198.12,163.55,64.83,1.15,1012.0,Cardio
44.63,Male,113.45,1.71,190.34,128.85,63.04,0.82,720.29,Cardio
24.89,Female,63.32,1.65,173.81,141.99,60.86,1.2,1056.0,Cardio
40.62,Female,66.86,1.69,186.95,142.11,67.96,0.77,507.28,Yoga
44.94,Female,65.79,1.57,191.64,133.1,59.14,0.66,797.15,HIIT
35.62,Female,49.19,1.68,194.28,143.94,55.9,1.22,1205.6,Strength
46.03,Male,60.7,1.71,180.95,153.39,61.14,1.68,2400.55,HIIT
34.0,Female,109.95,1.86,188.2,138.96,61.92,1.43,944.66,Yoga
18.0,Female,66.96,1.75,169.53,121.75,61.2,0.95,1150.54,HIIT
55.21,Female,74.99,1.67,188.06,167.19,50.97,1.37,903.38,Yoga
21.29,Male,80.48,1.9,194.2,136.9,55.05,1.79,2092.69,Strength
18.21,Female,54.58,1.68,176.35,158.44,70.94,1.27,1676.4,HIIT
30.13,Male,62.78,1.92,170.03,126.79,69.84,1.13,1367.3,HIIT
31.24,Female,47.86,1.65,162.94,165.79,60.02,1.11,732.6,Yoga
54.09,Female,49.49,1.61,188.03,156.93,67.09,1.47,1294.78,Cardio
58.09,Female,74.46,1.68,173.25,159.24,59.97,1.03,1113.33,Strength
35.46,Male,69.67,1.79,185.44,124.88,63.28,1.08,1425.6,HIIT
47.13,Male,85.11,1.86,187.15,129.24,63.21,1.85,2164.5,Strength
42.86,Female,82.1,1.85,186.84,141.63,49.89,1.22,876.94,Yoga
40.96,Female,63.76,1.71,164.0,130.91,53.95,1.19,1284.13,Strength
55.88,Female,40.53,1.8,195.85,165.24,72.25,1.23,1326.19,Strength
37.07,Female,52.7,1.71,184.22,156.61,50.1,1.13,1222.43,Strength
23.67,Female,58.79,1.76,188.71,130.12,73.12,0.63,761.61,HIIT
22.2,Female,96.51,1.63,180.28,161.63,61.83,1.35,972.0,Yoga
41.94,Female,69.21,1.87,187.64,165.47,65.07,1.39,1499.95,Strength
38.02,Male,61.86,1.54,183.2,131.09,69.08,1.48,1955.23,HIIT
38.73,Female,71.75,1.88,197.93,147.32,51.11,0.56,369.26,Yoga
53.32,Female,125.11,1.91,171.13,137.25,70.13,0.53,465.98,Cardio
54.82,Female,91.58,1.78,164.92,153.77,65.09,1.44,949.54,Yoga
41.56,Male,45.56,1.59,165.95,163.18,64.12,1.31,1413.62,Strength
52.35,Female,70.55,1.58,181.13,164.26,67.23,1.04,1121.33,Strength
18.77,Female,128.03,1.93,184.82,167.89,69.94,1.26,1360.8,Strength
42.62,Male,65.81,1.77,176.75,156.44,57.16,1.47,1943.63,HIIT
51.18,Male,49.69,1.61,191.0,129.09,54.94,1.35,1633.5,HIIT
48.86,Female,49.94,1.54,179.08,153.18,62.87,1.28,920.83,Yoga
58.77,Male,86.93,1.76,193.8,122.97,60.02,1.14,1504.8,HIIT
38.85,Female,63.25,1.71,178.24,125.5,56.2,1.88,2686.33,HIIT
28.03,Male,62.1,1.62,195.9,146.82,54.81,0.68,673.81,Strength
39.33,Female,80.72,1.75,165.2,164.21,54.82,1.33,1434.01,Strength
52.36,Female,86.04,1.85,189.03,151.83,49.96,1.19,1182.38,Strength
55.92,Female,56.19,1.53,189.91,123.72,65.89,1.91,1984.87,Cardio
37.01,Female,48.71,1.67,163.97,131.98,74.11,1.39,1225.42,Cardio
22.57,Male,50.64,1.59,197.59,139.65,65.95,1.27,917.45,Yoga
41.1,Female,94.44,2.0,178.88,136.09,68.88,1.19,784.69,Yoga
36.17,Female,46.99,1.74,196.02,160.05,53.16,1.5,1618.65,Strength
20.09,Female,73.19,1.73,199.11,159.99,67.76,1.28,921.6,Yoga
53.81,Male,56.95,1.75,196.22,154.0,66.08,1.77,2527.21,HIIT
53.79,Female,84.0,1.85,167.97,141.62,56.05,1.56,1626.14,Cardio
42.07,Female,42.74,1.74,160.91,129.72,71.29,1.05,1038.56,Strength
40.98,Female,74.49,1.6,159.72,135.65,50.97,1.07,1028.06,Cardio
42.3,Female,70.94,1.87,187.88,165.36,64.89,1.37,1806.89,HIIT
47.55,Male,80.42,1.77,198.21,166.58,65.99,1.52,2171.93,HIIT
26.34,Male,73.06,1.67,162.89,120.76,50.05,1.38,1216.61,Cardio
18.05,Female,60.66,1.79,191.17,125.76,68.86,1.12,739.2,Yoga
39.3,Female,61.54,1.77,199.02,165.24,69.03,1.33,1612.23,HIIT
41.4,Female,95.11,2.0,179.19,135.72,68.84,1.18,780.22,Yoga
57.2,Male,95.62,1.74,199.02,144.0,53.83,1.21,1308.98,Strength
19.38,Female,60.4,1.59,183.96,127.91,53.04,1.13,1118.7,Strength
52.1,Female,67.76,1.62,178.69,148.56,67.11,1.17,772.9,Yoga
57.06,Male,83.86,1.65,172.32,166.09,66.99,1.57,1627.78,Cardio
30.9,Female,76.62,1.62,173.94,126.95,73.87,1.38,1321.49,Cardio
57.27,Male,85.61,1.69,189.09,132.92,50.0,1.76,1373.86,Yoga
43.93,Female,65.04,1.8,192.15,139.38,67.93,0.73,640.06,Cardio
41.19,Male,63.09,1.59,161.5,153.16,55.05,1.84,2631.2,HIIT
58.36,Female,58.95,1.58,166.42,164.61,55.89,1.96,1526.45,Yoga
54.07,Female,70.59,1.57,197.97,163.11,64.85,1.14,1005.94,Cardio
58.06,Male,59.51,1.58,165.78,165.13,56.02,1.97,1538.96,Yoga
25.03,Male,63.62,1.69,198.27,165.13,67.15,0.96,1161.6,HIIT
21.86,Female,106.33,1.82,170.32,130.42,49.92,1.01,969.6,Cardio
58.68,Male,88.77,1.72,188.5,152.12,67.21,1.08,951.26,Cardio
48.99,Male,46.48,1.72,168.82,119.75,71.96,1.4,1851.08,HIIT
48.01,Male,74.16,1.61,172.19,120.72,63.01,1.34,1286.4,Cardio
27.0,Male,88.81,1.99,161.2,153.24,52.7,1.81,2584.32,HIIT
33.93,Male,52.35,1.78,171.08,129.91,52.87,1.37,985.58,Yoga
23.65,Male,50.38,1.67,177.88,132.41,71.9,0.98,969.32,Strength
51.41,Male,69.8,1.55,178.42,138.73,54.14,1.41,1241.93,Cardio
18.0,Female,52.12,1.74,186.88,164.75,58.26,1.2,1189.08,Strength
54.8,Male,63.69,1.86,198.28,143.71,52.98,1.36,1467.58,Strength
27.16,Male,88.88,1.87,169.06,152.57,62.09,1.62,1264.57,Yoga
59.06,Female,49.91,1.95,188.04,166.89,55.06,1.07,704.27,Yoga
48.05,Female,52.12,1.66,174.32,130.24,70.94,0.74,651.79,Cardio
21.05,Female,74.1,1.93,187.09,140.53,55.79,1.31,1412.44,Strength
43.38,Male,61.43,1.58,165.05,148.9,49.85,1.86,2657.75,HIIT
28.8,Female,69.11,1.72,170.82,168.18,61.89,1.09,783.49,Yoga
46.51,Female,61.59,1.76,161.97,153.23,54.06,1.55,1210.86,Yoga
51.65,Female,79.41,1.59,165.81,162.89,58.94,1.39,1000.8,Yoga
21.88,Male,48.92,1.76,165.12,167.23,65.96,1.37,1478.37,Strength
41.37,Female,71.75,1.96,162.46,168.19,51.08,0.5,439.2,Cardio
49.03,Female,42.08,1.52,171.42,129.83,69.84,1.11,733.27,Yoga
48.7,Male,88.21,2.0,162.06,127.17,55.9,1.84,2635.25,HIIT
46.91,Male,40.28,1.76,173.18,132.28,62.92,0.81,535.09,Yoga
46.1,Female,59.38,1.7,179.76,154.86,53.19,1.52,2175.27,HIIT
43.19,Female,66.53,1.85,169.96,120.56,57.99,1.18,1169.26,Strength
37.84,Male,70.6,1.52,164.22,143.99,65.97,1.19,1288.41,Strength
49.98,Male,45.17,1.67,163.28,157.86,61.96,1.37,986.4,Yoga
49.74,Male,45.81,1.67,163.33,158.74,62.04,1.37,1806.89,HIIT
56.93,Female,96.61,1.74,198.55,143.5,53.98,1.19,1142.4,Cardio
30.03,Female,121.83,2.0,179.11,160.13,60.18,1.23,1327.29,Strength
24.25,Female,73.13,1.76,175.15,127.22,68.14,0.86,754.74,Cardio
51.11,Female,70.99,1.55,177.7,138.98,53.79,1.41,1709.2,HIIT
48.24,Male,73.14,1.83,194.12,130.85,70.83,1.05,1131.16,Strength
52.02,Female,105.58,1.99,187.03,129.92,66.88,0.93,819.14,Cardio
35.99,Male,109.82,1.62,192.84,140.81,68.0,0.84,552.89,Yoga
41.07,Male,94.16,2.0,178.55,136.38,68.93,1.18,778.8,Yoga
20.21,Female,71.7,1.69,166.85,162.97,51.88,1.27,913.64,Yoga
38.52,Female,60.96,1.97,177.42,145.97,51.06,1.38,909.97,Yoga
53.06,Male,68.35,1.55,163.94,130.75,64.98,1.41,1016.05,Yoga
30.89,Female,76.55,1.62,173.82,126.48,73.94,1.4,1008.84,Yoga
38.55,Female,82.12,1.71,186.81,147.84,57.81,1.5,1562.4,Cardio
36.85,Female,73.72,1.69,174.31,131.42,65.82,0.54,357.05,Yoga
21.87,Male,111.46,1.92,171.96,144.21,54.91,1.16,1113.6,Cardio
33.8,Male,74.17,1.57,178.05,158.09,52.02,1.47,969.32,Yoga
56.84,Female,96.48,1.86,167.92,145.88,74.41,1.1,1055.12,Cardio
53.84,Male,49.98,1.61,188.3,157.01,66.94,1.49,1475.1,Strength
46.42,Male,95.14,1.82,164.4,119.94,69.07,1.47,1938.78,HIIT
22.16,Female,108.0,1.74,195.05,137.69,63.12,1.35,891.81,Yoga
48.1,Male,68.42,1.69,169.79,159.34,73.06,0.76,751.03,Strength
47.96,Female,73.58,1.59,196.19,148.82,63.93,1.18,851.02,Yoga
49.84,Male,42.22,1.53,168.13,155.23,65.0,1.42,1533.6,Strength
39.09,Male,85.98,1.82,190.61,160.09,71.95,1.96,1526.45,Yoga
58.15,Female,83.02,1.87,171.19,143.01,55.08,1.56,1215.86,Yoga
18.9,Female,69.34,1.6,185.83,155.29,73.93,1.18,778.8,Yoga
27.63,Female,76.39,1.62,160.98,162.18,70.05,1.16,1253.84,Strength
43.19,Female,52.96,1.59,187.0,135.35,71.86,0.82,720.94,Cardio
41.03,Male,47.54,1.78,164.9,149.53,64.84,1.26,1110.82,Cardio
41.16,Female,82.67,1.79,184.79,138.62,60.81,1.69,1978.82,Strength
52.86,Female,56.57,1.59,198.85,164.2,64.93,1.49,1966.8,HIIT
41.97,Female,72.72,1.62,175.48,138.8,66.81,1.16,837.29,Yoga
54.29,Female,52.5,1.69,179.94,167.07,50.03,0.77,932.55,HIIT
34.09,Male,123.83,1.64,161.25,135.56,66.03,1.4,1005.48,Yoga
29.77,Male,79.12,1.62,180.88,166.5,66.0,1.26,1665.97,HIIT
48.06,Male,52.42,1.66,173.97,130.32,71.23,0.74,896.21,HIIT
49.97,Male,90.21,1.7,167.87,123.7,73.9,0.81,713.45,Cardio
35.08,Female,51.05,1.6,195.16,155.7,59.05,1.03,740.98,Yoga
45.17,Female,57.81,1.7,167.96,159.96,52.79,0.95,941.36,Strength
58.26,Male,74.53,1.75,193.24,137.36,57.93,1.09,957.46,Cardio
38.02,Female,45.44,1.8,188.17,157.99,67.84,0.64,563.71,Cardio
21.91,Female,110.65,1.92,171.91,143.89,54.95,1.15,1242.0,Strength
48.96,Female,57.43,1.99,183.11,160.87,67.15,0.93,817.66,Cardio
43.15,Male,94.27,1.79,187.43,155.96,61.85,1.3,1144.0,Cardio
26.24,Male,70.63,1.66,183.93,125.23,67.59,0.8,792.72,Strength
46.38,Female,58.58,1.53,195.88,139.95,61.78,1.84,2154.46,Strength
56.16,Female,50.94,1.7,175.17,145.55,57.97,1.29,1279.42,Strength
39.78,Female,57.9,1.98,198.31,137.67,74.18,1.43,1548.26,Strength
48.17,Female,93.98,1.7,189.19,140.26,64.16,1.02,1099.76,Strength
49.16,Male,57.78,1.99,182.63,161.22,66.92,0.93,1124.28,HIIT
22.06,Male,71.73,1.77,197.05,158.15,55.98,1.49,1801.26,HIIT
36.42,Female,60.48,1.72,160.93,127.83,50.92,1.62,1896.86,Strength
57.0,Female,96.37,1.86,168.33,146.3,73.92,1.1,1453.21,HIIT
32.19,Female,102.72,1.99,168.0,119.63,60.93,1.24,1191.39,Cardio
23.28,Female,44.4,1.62,195.97,121.71,58.14,0.58,510.4,Cardio
30.63,Male,52.89,1.76,171.56,132.73,68.98,1.22,1172.18,Cardio
33.1,Male,45.49,1.5,189.27,143.79,62.03,0.92,910.8,Strength
41.89,Male,49.37,1.5,173.01,131.32,63.27,1.16,837.29,Yoga
26.13,Female,51.57,2.0,172.82,133.08,53.7,0.75,661.8,Cardio
42.75,Female,61.44,1.88,175.0,162.96,67.82,1.04,914.37,Cardio
44.91,Female,73.58,1.75,183.9,147.55,49.91,1.15,1105.84,Cardio
34.92,Male,101.65,1.76,193.12,121.45,64.09,0.83,820.95,Strength
28.88,Male,71.95,1.55,189.89,120.33,68.14,1.2,1150.08,Cardio
45.13,Female,118.46,1.95,178.22,167.95,58.98,1.06,761.93,Yoga
25.09,Female,67.36,1.61,183.9,166.6,56.0,1.39,1224.31,Cardio
48.88,Female,70.08,1.67,185.81,165.88,50.01,0.94,929.75,Strength
31.52,Female,69.85,1.62,176.98,122.19,58.05,1.25,1237.5,Strength
21.98,Female,43.54,1.56,174.08,133.16,65.81,1.47,1587.6,Strength
49.82,Female,69.13,1.96,166.38,138.9,68.04,0.98,1183.64,HIIT
51.02,Male,77.87,1.51,193.0,134.22,74.05,0.92,606.1,Yoga
27.18,Female,52.78,1.58,165.93,141.76,61.91,1.26,1359.67,Strength
35.89,Male,46.66,1.74,195.81,159.72,53.06,1.5,1437.6,Cardio
38.2,Female,47.52,1.74,198.3,166.85,63.99,1.02,732.56,Yoga
53.28,Female,81.3,1.61,196.01,123.0,60.12,1.86,1451.92,Yoga
40.79,Male,77.93,1.76,161.98,160.74,71.1,1.27,1220.22,Cardio
51.92,Male,63.13,1.54,184.88,165.3,67.08,1.36,978.38,Yoga
41.04,Male,74.24,1.61,159.71,135.9,50.93,1.05,755.37,Yoga
44.11,Female,48.06,1.76,189.09,123.5,52.01,0.88,580.8,Yoga
44.04,Female,69.5,1.75,191.94,154.98,68.66,1.03,679.8,Yoga
38.68,Female,55.74,1.6,184.14,150.72,68.91,0.89,587.4,Yoga
36.97,Male,73.28,1.69,173.91,131.37,65.91,0.54,356.4,Yoga
55.63,Male,118.16,1.9,199.0,126.64,67.98,0.66,653.99,Strength
24.43,Male,73.41,1.76,174.81,126.75,67.78,0.87,573.68,Yoga
24.73,Male,88.16,1.95,182.27,130.88,68.0,1.42,1249.6,Cardio
36.12,Female,48.72,1.68,193.89,144.06,56.28,1.23,811.06,Yoga
44.08,Female,72.24,1.66,176.04,151.71,55.16,1.41,929.75,Yoga
42.22,Female,62.99,1.71,172.75,168.64,61.99,1.41,1013.51,Yoga
30.26,Female,121.35,2.0,178.68,159.87,60.05,1.24,1336.97,Strength
51.97,Male,79.37,1.51,189.68,142.03,54.26,0.74,488.84,Yoga
30.18,Male,67.75,1.75,180.04,167.73,67.0,1.26,1106.78,Cardio
25.85,Female,64.67,1.5,193.82,133.62,59.91,1.94,2016.05,Cardio
23.92,Male,54.41,1.74,160.21,166.73,53.01,0.83,1003.39,HIIT
33.5,Female,52.08,1.78,171.15,129.67,53.12,1.38,1324.8,Cardio
25.12,Female,65.12,1.71,179.09,167.22,60.99,1.11,1097.9,Strength
57.3,Female,76.56,1.86,172.84,141.29,54.84,1.15,1104.0,Cardio
33.22,Male,74.07,1.76,191.96,145.25,65.89,1.16,1113.6,Cardio
52.3,Male,58.9,1.71,169.2,151.35,58.0,1.22,805.2,Yoga
47.11,Female,39.41,1.76,173.3,131.93,62.92,0.8,970.64,HIIT
25.92,Female,128.1,1.73,167.14,160.26,61.71,1.32,1597.2,HIIT
55.37,Female,86.86,1.77,175.87,157.47,60.9,1.01,1330.98,HIIT
28.88,Female,87.18,1.62,173.63,122.03,55.06,1.51,1178.71,Yoga
27.35,Male,69.24,1.76,170.7,120.71,65.92,0.94,619.84,Yoga
24.76,Female,41.2,1.62,193.0,143.38,63.98,1.49,1606.52,Strength
44.19,Female,69.16,1.75,192.24,155.24,69.07,1.02,1010.72,Strength
32.34,Male,62.17,1.63,190.22,160.77,57.97,1.67,2389.94,HIIT
20.77,Male,54.47,1.78,172.78,137.52,70.88,0.55,544.5,Strength
29.12,Female,86.54,1.62,173.53,121.82,54.96,1.53,2187.9,HIIT
43.97,Female,59.15,1.52,177.15,135.52,56.05,1.59,1656.14,Cardio
48.8,Male,83.2,1.95,183.46,158.64,73.24,1.91,1983.34,Cardio
28.0,Female,84.28,1.79,182.3,138.07,54.78,1.35,1783.48,HIIT
48.84,Male,82.55,1.86,161.67,160.13,63.83,1.88,2690.47,HIIT
55.21,Male,86.94,1.88,190.79,134.4,73.32,1.19,1568.18,HIIT
34.97,Female,126.63,1.62,186.95,128.06,69.08,1.02,733.79,Yoga
31.51,Female,90.18,1.92,198.82,167.86,66.98,1.93,2007.2,Cardio
41.05,Female,61.96,1.64,166.19,131.22,67.9,1.93,2008.74,Cardio
35.86,Male,88.11,1.71,184.65,159.9,72.79,1.87,2196.32,Strength
55.94,Male,90.34,1.61,163.21,167.93,50.99,1.38,992.77,Yoga
18.0,Male,91.9,1.74,195.33,167.74,50.19,1.4,1389.78,Strength
54.14,Female,65.06,1.53,170.54,120.2,58.05,1.74,1808.21,Cardio
18.0,Male,125.85,1.67,172.17,152.94,59.89,1.46,1927.2,HIIT
25.46,Female,88.18,1.95,182.28,130.98,68.06,1.4,1692.46,HIIT
39.44,Female,63.89,1.6,162.71,159.07,58.9,1.3,1716.0,HIIT
40.93,Female,64.72,1.57,165.98,123.47,52.67,1.02,1101.6,Strength
56.92,Male,75.57,1.63,160.94,130.98,60.06,0.7,616.56,Cardio
59.11,Female,86.97,1.76,194.03,123.08,60.06,1.13,1492.84,HIIT
25.84,Female,71.47,1.5,182.07,141.67,53.95,1.15,1139.54,Strength
34.09,Male,102.07,1.71,185.11,134.4,72.1,0.95,1147.41,HIIT
47.82,Male,56.64,1.51,185.52,126.31,51.86,1.37,1315.2,Cardio
58.01,Female,82.58,1.87,171.05,142.65,54.99,1.58,1230.5,Yoga
42.72,Female,82.68,1.85,187.11,141.95,50.08,1.22,1317.6,Strength
19.92,Female,110.79,1.94,169.97,155.85,49.88,1.01,971.22,Cardio
