Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Days_Since_Update,Size_MB
HEALTH_AND_FITNESS,4.5,183662,5000000,Free,0.0,Everyone,Health & Fitness,2639,57.0
MEDICAL,4.5,6099,500000,Free,0.0,Everyone,Medical,2635,38.0
BOOKS_AND_REFERENCE,4.3,17506,1000000,Free,0.0,Everyone,Books & Reference,2646,17.0
NEWS_AND_MAGAZINES,4.1,20,5000,Free,0.0,Everyone,News & Magazines,3021,3.1
BEAUTY,4.4,74,10000,Free,0.0,Everyone,Beauty,2752,2.9
GAME,4.3,504765,5000000,Free,0.0,Teen,Action,2636,36.0
FAMILY,4.5,2576,10000,Paid,4.99,Everyone,Role Playing,2779,44.0
TRAVEL_AND_LOCAL,4.4,17878,1000000,Free,0.0,Everyone,Travel & Local,2650,28.0
FINANCE,4.1,196,10000,Free,0.0,Everyone,Finance,2666,7.3
FAMILY,4.3,1364,100000,Free,0.0,Everyone,Entertainment,2654,5.2
HEALTH_AND_FITNESS,5.0,3,50,Free,0.0,Everyone,Health & Fitness,2669,40.0
FAMILY,4.4,3358,100000,Paid,14.99,Everyone,Role Playing,2634,17.0
SOCIAL,3.4,44,1000,Free,0.0,Teen,Social,2706,6.3
TRAVEL_AND_LOCAL,3.3,256,100000,Free,0.0,Everyone,Travel & Local,2634,17.0
GAME,4.5,4230886,100000000,Free,0.0,Everyone,Action,2634,60.0
AUTO_AND_VEHICLES,4.5,737,100000,Free,0.0,Everyone,Auto & Vehicles,2688,8.9
TOOLS,4.6,33509,1000000,Free,0.0,Everyone,Tools,2715,3.6
GAME,4.5,148895,10000000,Free,0.0,Everyone,Casual,2649,46.0
EDUCATION,4.3,206527,10000000,Free,0.0,Everyone 10+,Education,2634,21.0
TOOLS,4.3,146913,100000000,Free,0.0,Everyone,Tools,2648,24.0
PHOTOGRAPHY,4.4,1864,500000,Free,0.0,Everyone,Photography,2724,13.0
GAME,4.1,2208,500000,Free,0.0,Everyone,Arcade,2703,4.4
NEWS_AND_MAGAZINES,4.0,293080,10000000,Free,0.0,Everyone 10+,News & Magazines,2629,25.0
SOCIAL,5.0,2,500,Free,0.0,Everyone,Social,3381,2.4
PRODUCTIVITY,4.2,145088,10000000,Free,0.0,Everyone,Productivity,2643,24.0
FOOD_AND_DRINK,4.3,31986,1000000,Free,0.0,Teen,Food & Drink,2885,76.0
TOOLS,2.9,452,100000,Free,0.0,Everyone,Tools,3014,7.0
SHOPPING,3.3,9189,1000000,Free,0.0,Teen,Shopping,2634,98.0
FAMILY,4.5,1791,500000,Free,0.0,Everyone,Education;Education,2694,56.0
LIFESTYLE,2.8,48,5000,Free,0.0,Everyone,Lifestyle,2942,12.0
GAME,4.2,187972,5000000,Free,0.0,Teen,Role Playing,2655,99.0
SHOPPING,4.4,19212,500000,Free,0.0,Everyone,Shopping,2632,6.9
LIBRARIES_AND_DEMO,4.3,6,10000,Free,0.0,Everyone,Libraries & Demo,2632,5.5
GAME,4.2,492,100000,Free,0.0,Teen,Action,3116,63.0
FINANCE,4.5,28,10000,Free,0.0,Teen,Finance,2818,1.4
FAMILY,5.0,4,100,Free,0.0,Everyone,Education,2669,8.3
HEALTH_AND_FITNESS,4.4,12029,1000000,Free,0.0,Everyone,Health & Fitness,2631,4.3
GAME,4.0,120592,10000000,Free,0.0,Everyone 10+,Strategy,2635,77.0
TOOLS,4.0,9,1000,Free,0.0,Everyone,Tools,2699,33.0
COMMUNICATION,4.1,255,10000,Free,0.0,Everyone,Communication,3111,1.6
FINANCE,2.9,139,10000,Free,0.0,Everyone,Finance,3042,3.3
PRODUCTIVITY,3.8,8226,10000000,Free,0.0,Everyone,Productivity,2646,4.1
PERSONALIZATION,5.0,3,50,Free,0.0,Everyone,Personalization,2748,3.4
GAME,4.5,10460,1000000,Free,0.0,Everyone,Arcade,2655,18.0
FAMILY,3.5,33944,1000000,Free,0.0,Everyone 10+,Strategy,3508,28.0
LIFESTYLE,2.8,405,50000,Free,0.0,Everyone,Lifestyle,2674,25.0
FOOD_AND_DRINK,4.7,14065,500000,Free,0.0,Everyone,Food & Drink,2684,7.1
GAME,3.6,120852,10000000,Free,0.0,Teen,Action,2915,21.0
SOCIAL,4.3,9606,100000,Free,0.0,Teen,Social,2648,3.4
FAMILY,4.3,2282,500000,Free,0.0,Everyone,Simulation,2796,22.0
FAMILY,4.0,309,100000,Free,0.0,Everyone,Entertainment,2725,25.0
PERSONALIZATION,4.6,4724,1000000,Free,0.0,Everyone,Personalization,2636,5.4
FAMILY,3.1,305,100000,Free,0.0,Everyone,Educational;Brain Games,3389,8.3
ART_AND_DESIGN,4.4,1518,100000,Free,0.0,Everyone,Art & Design,2632,37.0
FINANCE,4.8,4,50,Free,0.0,Everyone,Finance,2704,5.1
MEDICAL,5.0,3,100,Paid,2.99,Everyone,Medical,2737,23.0
DATING,4.1,2067,100000,Free,0.0,Mature 17+,Dating,2641,24.0
SHOPPING,4.2,470,10000,Paid,2.99,Everyone,Shopping,2649,4.1
FAMILY,4.3,10776,1000000,Free,0.0,Everyone,Arcade;Action & Adventure,2913,21.0
TRAVEL_AND_LOCAL,4.2,18294,1000000,Free,0.0,Everyone,Travel & Local,2633,28.0
GAME,4.5,937,10000,Free,0.0,Everyone,Trivia,2920,35.0
SOCIAL,4.1,568,100000,Free,0.0,Mature 17+,Social,2744,27.0
VIDEO_PLAYERS,4.7,696665,10000000,Free,0.0,Everyone,Video Players & Editors,2661,91.0
PARENTING,3.8,3614,1000000,Free,0.0,Everyone,Parenting;Brain Games,2699,3.3
GAME,4.4,348962,1000000,Paid,6.99,Mature 17+,Action,3863,26.0
PRODUCTIVITY,4.4,26358,500000,Paid,1.99,Everyone,Productivity,4291,0.048828125
BOOKS_AND_REFERENCE,4.7,14,1000,Free,0.0,Everyone,Books & Reference,2783,27.0
SPORTS,4.2,15068,1000000,Free,0.0,Everyone,Sports,2677,2.5
SHOPPING,4.5,35479,1000000,Free,0.0,Everyone,Shopping,2655,16.0
VIDEO_PLAYERS,3.9,121916,100000000,Free,0.0,Everyone,Video Players & Editors,3553,23.0
GAME,4.5,401425,10000000,Free,0.0,Everyone,Action,3110,70.0
VIDEO_PLAYERS,3.8,3965,100000,Free,0.0,Everyone,Video Players & Editors,2762,6.4
GAME,4.1,2399,100000,Free,0.0,Mature 17+,Action,2819,42.0
PERSONALIZATION,4.5,624924,10000000,Free,0.0,Everyone,Personalization,2634,24.0
TOOLS,3.9,65,5000,Free,0.0,Everyone,Tools,3977,0.052734375
GAME,4.3,13604,1000000,Paid,0.99,Teen,Action,2670,96.0
FAMILY,4.8,61,1000,Free,0.0,Everyone,Casual;Brain Games,3186,25.0
EVENTS,5.0,1,100,Free,0.0,Everyone,Events,2663,21.0
GAME,4.7,1125566,10000000,Free,0.0,Everyone,Puzzle,2649,25.0
FAMILY,4.4,2311,100000,Paid,1.99,Everyone,Casual;Pretend Play,3928,9.3
SPORTS,4.0,176448,5000000,Free,0.0,Everyone,Sports,2887,10.0
BOOKS_AND_REFERENCE,4.8,57400,500000,Free,0.0,Everyone,Books & Reference,2636,14.0
TOOLS,3.7,533,100000,Free,0.0,Everyone,Tools,2635,7.3
VIDEO_PLAYERS,4.1,24565,1000000,Free,0.0,Everyone,Video Players & Editors,3514,5.5
TOOLS,4.3,1602,100000,Free,0.0,Everyone,Tools,2632,5.0
GAME,3.7,42529,500000,Paid,1.99,Teen,Action,3250,92.0
FAMILY,4.6,166,5000,Free,0.0,Everyone,Entertainment,2777,4.2
TOOLS,4.2,533,10000,Free,0.0,Everyone,Tools,2937,5.0
FAMILY,4.3,43060,5000000,Free,0.0,Everyone,Action;Action & Adventure,2667,95.0
FAMILY,4.1,159619,5000000,Free,0.0,Everyone,Video Players & Editors;Creativity,2649,23.0
TOOLS,4.2,5,500,Free,0.0,Everyone,Tools,2734,31.0
TOOLS,4.2,24,1000,Free,0.0,Everyone,Tools,2851,5.0
TOOLS,4.5,2,100,Free,0.0,Everyone,Tools,3900,1.6
BOOKS_AND_REFERENCE,4.6,3234,100000,Free,0.0,Everyone,Books & Reference,2852,85.0
VIDEO_PLAYERS,4.5,83,5000,Free,0.0,Everyone,Video Players & Editors,2711,4.5
NEWS_AND_MAGAZINES,4.5,76,5000,Free,0.0,Everyone,News & Magazines,2663,7.8
FAMILY,4.4,54,500,Paid,2.99,Everyone,Puzzle,2667,33.0
EVENTS,4.6,99,10000,Free,0.0,Everyone,Events,2660,13.0
GAME,3.7,53,1000,Free,0.0,Everyone,Adventure,3889,14.0
SPORTS,4.1,4374,100000,Free,0.0,Everyone,Sports,2955,53.0
SPORTS,3.0,26,1000,Free,0.0,Everyone,Sports,3083,15.0
GAME,4.4,2440877,10000000,Free,0.0,Teen,Action,2682,32.0
FAMILY,4.4,591411,10000000,Free,0.0,Teen,Entertainment,3076,19.0
PRODUCTIVITY,4.6,14089,500000,Free,0.0,Everyone,Productivity,2630,8.4
HEALTH_AND_FITNESS,4.4,622,10000,Free,0.0,Everyone,Health & Fitness,2718,2.5
FAMILY,4.6,9199,500000,Free,0.0,Everyone,Puzzle;Brain Games,2632,80.0
MEDICAL,4.2,74,1000,Paid,1.5,Everyone,Medical,4059,2.6
FAMILY,4.3,18,1000,Free,0.0,Everyone,Entertainment,3551,1.7
COMMUNICATION,3.1,497,100000,Free,0.0,Everyone,Communication,2649,36.0
TOOLS,4.2,928,10000,Paid,1.99,Everyone,Tools,4229,0.3740234375
DATING,4.8,84,1000,Free,0.0,Mature 17+,Dating,2660,4.5
HEALTH_AND_FITNESS,4.1,18539,1000000,Free,0.0,Everyone,Health & Fitness,2636,57.0
FAMILY,4.5,75719,5000000,Free,0.0,Everyone,Educational,2884,30.0
FAMILY,3.6,445,50000,Free,0.0,Everyone,Casual,3862,12.0
LIFESTYLE,4.2,120,10000,Free,0.0,Everyone,Lifestyle,2793,14.0
TOOLS,3.6,41,10000,Free,0.0,Everyone,Tools,2693,23.0
PERSONALIZATION,4.1,2645,50000,Paid,0.99,Everyone,Personalization,3589,1.1
PARENTING,4.0,464,100000,Free,0.0,Everyone,Parenting,2629,24.0
FINANCE,4.5,64959,1000000,Free,0.0,Everyone,Finance,2678,39.0
TRAVEL_AND_LOCAL,4.4,105,10000,Free,0.0,Everyone,Travel & Local,2725,5.0
TOOLS,4.3,3268,100000,Free,0.0,Everyone,Tools,2862,0.4560546875
SPORTS,4.4,108318,10000000,Free,0.0,Everyone,Sports,2657,35.0
TOOLS,4.2,19096,1000000,Free,0.0,Everyone,Tools,2661,10.0
GAME,4.5,2311785,10000000,Free,0.0,Teen,Action,2634,87.0
BOOKS_AND_REFERENCE,4.7,146,5000,Free,0.0,Everyone,Books & Reference,2727,34.0
FAMILY,4.7,8508,500000,Free,0.0,Everyone 10+,Arcade;Action & Adventure,2633,54.0
FAMILY,4.3,171220,5000000,Free,0.0,Everyone 10+,Role Playing,3734,42.0
MEDICAL,4.9,100082,1000000,Free,0.0,Everyone,Medical,2657,3.7
DATING,4.1,285726,10000000,Free,0.0,Mature 17+,Dating,2636,15.0
TOOLS,4.4,1166,100000,Free,0.0,Everyone,Tools,2762,13.0
FINANCE,4.5,101,10000,Free,0.0,Everyone,Finance,2631,6.9
FAMILY,4.4,7615646,100000000,Free,0.0,Everyone,Casual,2628,71.0
PHOTOGRAPHY,4.1,19232,1000000,Free,0.0,Everyone,Photography,2629,28.0
FAMILY,3.6,284,10000,Free,0.0,Everyone,Simulation,3051,70.0
FAMILY,4.3,65146,10000000,Free,0.0,Mature 17+,Simulation,2696,100.0
FAMILY,4.3,219,5000,Free,0.0,Everyone,Entertainment,2857,4.3
LIFESTYLE,3.8,52,10000,Free,0.0,Everyone,Lifestyle,2852,10.0
TOOLS,4.5,1916,100000,Free,0.0,Everyone,Tools,3578,0.35546875
BUSINESS,3.8,5211,1000000,Free,0.0,Everyone,Business,2636,26.0
GAME,4.4,18652,100000,Paid,2.99,Everyone,Board,2662,63.0
PHOTOGRAPHY,4.1,32398,1000000,Free,0.0,Everyone,Photography,2634,28.0
FAMILY,4.6,84114,500000,Paid,0.99,Everyone 10+,Puzzle,2661,23.0
COMMUNICATION,3.9,1436,100000,Free,0.0,Everyone,Communication,4435,0.01953125
FAMILY,4.4,7,1000,Free,0.0,Everyone,Education,3021,81.0
GAME,4.2,4878,100000,Free,0.0,Everyone 10+,Adventure,2814,27.0
FAMILY,4.2,35172,1000000,Free,0.0,Teen,Strategy,3192,34.0
PRODUCTIVITY,4.2,105,1000,Free,0.0,Everyone,Productivity,2923,72.0
PERSONALIZATION,4.3,58617,1000000,Paid,0.99,Everyone,Personalization,3236,26.0
BOOKS_AND_REFERENCE,4.4,43088,1000000,Free,0.0,Teen,Books & Reference,3103,3.0
SHOPPING,4.5,37186,1000000,Free,0.0,Everyone,Shopping,2666,7.9
FAMILY,4.6,477,10000,Free,0.0,Everyone,Education,2794,1.6
EDUCATION,4.4,390,500000,Free,0.0,Everyone,Education;Education,2813,41.0
SHOPPING,4.7,3,500,Free,0.0,Everyone,Shopping,2999,5.8
GAME,4.6,10795,100000,Paid,5.99,Everyone,Simulation,2857,69.0
GAME,4.5,947515,10000000,Free,0.0,Teen,Action,2641,60.0
NEWS_AND_MAGAZINES,3.7,7,1000,Free,0.0,Everyone 10+,News & Magazines,2709,3.4
GAME,4.4,2119235,50000000,Free,0.0,Everyone 10+,Action,2667,70.0
AUTO_AND_VEHICLES,4.6,2431,100000,Free,0.0,Everyone,Auto & Vehicles,2684,2.4
BEAUTY,3.7,3871,1000000,Free,0.0,Everyone,Beauty,2636,23.0
FAMILY,4.5,432,100000,Free,0.0,Everyone 10+,Educational;Education,2639,63.0
LIFESTYLE,4.5,3346,100000,Free,0.0,Teen,Lifestyle,3145,14.0
FAMILY,3.8,20,5000,Free,0.0,Teen,Educational,2793,55.0
PHOTOGRAPHY,4.3,50893,1000000,Free,0.0,Everyone,Photography,3984,35.0
TOOLS,3.9,7,100,Free,0.0,Everyone,Tools,2690,3.2
FAMILY,4.7,15,1000,Free,0.0,Everyone,Education,3325,5.2
FAMILY,4.7,34279,1000000,Free,0.0,Everyone,Casual;Creativity,2633,24.0
EDUCATION,4.3,16195,1000000,Free,0.0,Everyone,Education,3314,5.2
SOCIAL,4.4,900064,10000000,Free,0.0,Mature 17+,Social,2635,13.0
FAMILY,4.7,2387,100000,Free,0.0,Everyone,Education,2687,6.9
BUSINESS,3.8,5868,500000,Free,0.0,Everyone,Business,2663,20.0
MEDICAL,4.9,14,100,Free,0.0,Everyone,Medical,2653,7.0
ART_AND_DESIGN,4.1,227,50000,Free,0.0,Everyone,Art & Design,2696,5.2
FOOD_AND_DRINK,4.2,68103,1000000,Free,0.0,Everyone,Food & Drink,2676,66.0
FAMILY,4.1,59917,5000000,Free,0.0,Everyone,Education;Pretend Play,2635,92.0
SPORTS,4.6,1641,10000,Free,0.0,Everyone,Sports,2633,6.2
MAPS_AND_NAVIGATION,4.4,18710,1000000,Free,0.0,Everyone,Maps & Navigation,2632,4.0
COMMUNICATION,2.9,83,10000,Free,0.0,Everyone,Communication,2731,13.0
FAMILY,4.0,154,50000,Free,0.0,Teen,Educational,2683,58.0
FAMILY,4.6,29436,1000000,Free,0.0,Everyone,Educational;Education,2767,43.0
FAMILY,4.0,10773,1000000,Free,0.0,Everyone,Education,2879,10.0
FAMILY,3.3,23682,1000000,Free,0.0,Teen,Casual,2682,9.8
TRAVEL_AND_LOCAL,4.4,75,1000,Free,0.0,Everyone,Travel & Local,2704,19.0
FAMILY,4.1,1111915,100000000,Free,0.0,Everyone,Entertainment,2727,50.0
FAMILY,3.9,100,10000,Free,0.0,Everyone,Entertainment,3243,9.1
FAMILY,4.6,222,10000,Free,0.0,Everyone,Entertainment,3540,1.4
FAMILY,4.6,67410,1000000,Free,0.0,Everyone,Entertainment,2906,0.8447265625
TOOLS,4.2,498,100000,Free,0.0,Everyone,Tools,4378,0.5830078125
BOOKS_AND_REFERENCE,3.3,1862,1000000,Free,0.0,Everyone,Books & Reference,2730,19.0
COMMUNICATION,4.3,30209,5000000,Free,0.0,Everyone,Communication,2638,15.0
FAMILY,4.4,19207,100000,Free,0.0,Everyone,Role Playing,3315,36.0
PERSONALIZATION,3.9,28694,1000000,Free,0.0,Everyone,Personalization,2833,2.9
FAMILY,4.3,34514,5000000,Free,0.0,Everyone,Puzzle;Brain Games,2646,60.0
VIDEO_PLAYERS,4.2,58981,10000000,Free,0.0,Everyone,Video Players & Editors,2632,5.4
FAMILY,4.7,7252,500000,Free,0.0,Everyone,Education,2633,9.2
FAMILY,4.2,3103,100000,Free,0.0,Teen,Entertainment,2950,8.8
VIDEO_PLAYERS,3.5,51,10000,Free,0.0,Everyone,Video Players & Editors,2670,11.0
WEATHER,4.7,11118,1000000,Free,0.0,Everyone,Weather,2731,9.7
COMMUNICATION,4.3,158679,5000000,Free,0.0,Everyone,Communication,2632,8.8
SPORTS,4.1,79464,1000000,Free,0.0,Everyone,Sports,2629,27.0
GAME,4.6,9394,100000,Paid,4.99,Everyone,Puzzle,2878,33.0
DATING,4.4,41605,500000,Free,0.0,Mature 17+,Dating,2640,8.1
PERSONALIZATION,4.3,88,1000,Free,0.0,Everyone,Personalization,2823,4.2
EDUCATION,4.3,22251,1000000,Free,0.0,Everyone,Education,3764,1.8
DATING,4.8,110,10000,Free,0.0,Mature 17+,Dating,2657,4.9
TOOLS,3.9,167,10000,Free,0.0,Everyone,Tools,2900,2.5
FINANCE,4.4,188,10000,Free,0.0,Everyone,Finance,2638,3.3
GAME,4.2,685981,100000000,Free,0.0,Everyone,Arcade,2712,37.0
GAME,4.4,2123793,100000000,Free,0.0,Everyone,Puzzle,2661,49.0
GAME,4.1,52163,1000000,Free,0.0,Mature 17+,Action,3383,70.0
FAMILY,4.2,137167,1000000,Free,0.0,Everyone,Strategy,3195,52.0
FAMILY,4.2,13519,1000000,Free,0.0,Everyone,Entertainment;Music & Video,2639,51.0
FAMILY,4.4,761,50000,Free,0.0,Everyone,Education,3298,11.0
SPORTS,4.3,1802,100000,Free,0.0,Everyone,Sports,2675,9.8
FAMILY,3.5,205,50000,Free,0.0,Everyone,Educational;Education,3147,62.0
COMMUNICATION,4.4,9,500,Paid,3.99,Everyone,Communication,3173,0.0498046875
NEWS_AND_MAGAZINES,4.6,56524,1000000,Free,0.0,Teen,News & Magazines,2629,14.0
DATING,4.1,97699,1000000,Free,0.0,Mature 17+,Dating,2656,7.9
TOOLS,4.6,262076,10000000,Free,0.0,Everyone,Tools,2843,1.2
TOOLS,4.2,268,10000,Free,0.0,Everyone,Tools,2795,2.4
FAMILY,4.0,345,100000,Free,0.0,Everyone 10+,Simulation,3262,14.0
SPORTS,5.0,17,50,Free,0.0,Everyone,Sports,2870,1.5
TOOLS,4.2,7063,1000000,Free,0.0,Everyone,Tools,3177,17.0
GAME,4.7,703,10000,Free,0.0,Everyone 10+,Word,2891,40.0
AUTO_AND_VEHICLES,4.0,1598,1000000,Free,0.0,Everyone,Auto & Vehicles,2640,56.0
GAME,3.4,256,50000,Free,0.0,Everyone,Action,3235,9.1
FAMILY,4.0,2614,100000,Free,0.0,Mature 17+,Simulation,3839,6.3
SOCIAL,5.0,2,10,Free,0.0,Teen,Social,2770,1.8
LIFESTYLE,4.2,1506,100000,Free,0.0,Everyone,Lifestyle,2628,11.0
EDUCATION,4.3,1516,100000,Free,0.0,Everyone,Education,2638,3.9
FAMILY,4.6,69,1000,Free,0.0,Everyone,Education,3007,3.1
GAME,4.3,6143,100000,Free,0.0,Teen,Casino,2641,37.0
FAMILY,4.4,6356,500000,Free,0.0,Everyone,Puzzle;Creativity,2662,83.0
SHOPPING,4.5,214,10000,Free,0.0,Everyone,Shopping,2789,1.8
FINANCE,3.4,5,500,Free,0.0,Everyone,Finance,3013,8.8
LIFESTYLE,4.1,124,5000,Paid,3.99,Everyone,Lifestyle,2683,37.0
GAME,4.5,4229977,100000000,Free,0.0,Everyone,Action,2634,60.0
TRAVEL_AND_LOCAL,4.2,120373,5000000,Free,0.0,Everyone,Travel & Local,2635,31.0
NEWS_AND_MAGAZINES,4.2,31504,1000000,Free,0.0,Everyone 10+,News & Magazines,2636,31.0
SHOPPING,4.1,23187,1000000,Free,0.0,Everyone,Shopping,2675,25.0
GAME,4.4,22428456,500000000,Free,0.0,Everyone,Casual,2661,74.0
COMMUNICATION,4.3,1133501,10000000,Free,0.0,Everyone,Communication,3486,4.7
FAMILY,4.2,63197,1000000,Free,0.0,Everyone,Simulation,2669,11.0
COMMUNICATION,4.1,2063,100000,Free,0.0,Everyone,Communication,2693,4.5
COMMUNICATION,4.1,13100,1000000,Free,0.0,Everyone,Communication,2768,2.2
PHOTOGRAPHY,4.3,811693,50000000,Free,0.0,Everyone,Photography,2633,50.0
